,demand,next_q,prev_q
0,0,6,0
1,0,0,1
2,0,0,2
3,0,6,3
4,0,0,4
5,0,1,5
6,0,0,6
7,0,0,7
8,0,0,8
9,0,0,9
10,1,1,0
11,1,3,1
12,1,1,2
13,1,0,3
14,1,0,4
15,1,0,5
16,1,0,6
17,1,0,7
18,1,0,8
19,1,0,9
20,2,1,0
21,2,3,1
22,2,4,2
23,2,1,3
24,2,1,4
25,2,1,5
26,2,0,6
27,2,1,7
28,2,0,8
29,2,0,9
30,3,1,0
31,3,1,1
32,3,1,2
33,3,1,3
34,3,1,4
35,3,1,5
36,3,1,6
37,3,6,7
38,3,1,8
39,3,1,9
40,4,4,0
41,4,3,1
42,4,1,2
43,4,1,3
44,4,3,4
45,4,9,5
46,4,3,6
47,4,5,7
48,4,5,8
49,4,1,9
50,5,3,0
51,5,4,1
52,5,4,2
53,5,1,3
54,5,1,4
55,5,3,5
56,5,3,6
57,5,9,7
58,5,3,8
59,5,3,9
60,6,4,0
61,6,4,1
62,6,4,2
63,6,4,3
64,6,4,4
65,6,3,5
66,6,3,6
67,6,7,7
68,6,3,8
69,6,3,9
70,7,4,0
71,7,2,1
72,7,4,2
73,7,6,3
74,7,2,4
75,7,4,5
76,7,3,6
77,7,3,7
78,7,3,8
79,7,3,9
80,8,7,0
81,8,4,1
82,8,4,2
83,8,4,3
84,8,4,4
85,8,1,5
86,8,5,6
87,8,4,7
88,8,3,8
89,8,3,9
90,9,4,0
91,9,4,1
92,9,6,2
93,9,4,3
94,9,4,4
95,9,4,5
96,9,4,6
97,9,5,7
98,9,4,8
99,9,6,9
